Symbol,Security,GICS Sector,GICS Sub-Industry,Date first added
A,Agilent Technologies Inc,Health Care,Health Care Equipment,2000-06-05
AAL,American Airlines Group,Industrials,Airlines,2015-03-23
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,2012-12-31
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,2001-08-30
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,2018-05-31
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1964-03-31
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2011-07-06
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,1999-10-12
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,1981-07-29
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,1981-03-31
ADSK,Autodesk Inc.,Information Technology,Application Software,1989-12-01
AEE,Ameren Corp,Utilities,Multi-Utilities,1991-09-19
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1998-10-02
AFL,AFLAC Inc,Financials,Life & Health Insurance,1999-05-28
AIG,American International Group,Financials,Property & Casualty Insurance,1980-03-31
AIV,Apartment Investment & Management,Real Estate,Residential REITs,2003-03-14
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,2007-07-12
ALB,Albemarle Corp,Materials,Specialty Chemicals,2016-07-01
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19
ALK,Alaska Air Group Inc,Industrials,Airlines,2016-05-13
ALL,Allstate Corp,Financials,Property & Casualty Insurance,1995-07-13
ALLE,Allegion,Industrials,Building Products,2013-12-02
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,2012-05-25
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,1995-03-16
AMCR,Amcor plc,Materials,Paper Packaging,2019-06-07
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2017-03-20
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,2013-09-23
AMGN,Amgen Inc.,Health Care,Biotechnology,1992-01-02
